client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
02a86ce07b7b7d4dfb369c632369b6d7ebcff87472beae34ee1062be99a6eabe7f0ae3c1197ac01e053aa3d5204208aef11a3eff283d7b8257039f01fef62d4b	common_voice_en_22005778.mp3	yes	3	0				en	Benchmark
042bc2389193679673f4860dd38356e5c1bec5bf9b95d641198b62e0916b44473020ff83ecae2eb681708c3c9d18f02f6ef7cf364a6fb47a98a3afc540c4cab6	common_voice_en_22310890.mp3	yes	3	0				en	Benchmark
099b4fa0c62e39a22db1e1de8d756cb1eb29f122dfab99c36b05ad212f867ade9fc4b5bd9a2a4d3d4cdb9091049eb8dd68b3e1eaa6af62319216a812dc122e2d	common_voice_en_21960400.mp3	three	2	1				en	Benchmark
0b5e0bb806dba1eb60c51b25420e40d7daffff30ca29b93c3d4d9c19e5a9c4ca549a14045944b13e52aa2b796457bf46f2a7091d7b9c9b92a0f91e3265dca22e	common_voice_en_22316853.mp3	yes	2	0				en	Benchmark
0bdbe5114e8f69ee5a4e2b46ed365bd10f7bfa5addbaba85050559819e936e8ef1c379b7869ef36a2484f6a840db283c1df3f20f30ef95b89e22eaeae488df4c	common_voice_en_22327660.mp3	yes	3	0				en	Benchmark
0fe95db773eb34093ddcae0d35d96d5ea1e87752d4dbb8d1bdc0382d9b885299d53190fd49b8c7138e246b68087ffd0f5ba218e44b2e9a5a49aa41284818870c	common_voice_en_21875014.mp3	two	2	0				en	Benchmark
103ad2011d22a72f27d97a76b021ab0bd07183942959de1f768455e3342e2f2bf42473338a294ecce11a1c47eb8c780f5d50e7c11cb47851abb0536bd8001d93	common_voice_en_22158989.mp3	two	2	0				en	Benchmark
11c48af86864b1f5a526398ef1024db362cec1bbe3dddd3170c4e626c9816f5efc675b0337d6bfc325751ad7ee155d4829ebc44ab6dc85f099b08390d7b97b51	common_voice_en_22227005.mp3	four	2	1				en	Benchmark
194603f19cc01339f1fb71012762e4e29d9e2da50caffa9bef313d44fc7f209f55a74044363d94a16a32c6a2de6c0bb17dbd8f09118f10ebd006754c7dcb9adb	common_voice_en_22300196.mp3	no	2	0				en	Benchmark
19d7407e16df855d6832409d8288186c5f1eff335349b7bdfdd4baf6804d519c8fd413062bcef1dc2c03de8148632f2d2af2bede97f4990acb032444d4035932	common_voice_en_22076105.mp3	four	2	1				en	Benchmark
1bfc836baabdd170e86bfa74a64dba68b4321b5934ffa43511a3a880bca4dc0f6bce133719703c115858887a42257c46e1038c89bf302acdf7cac1bd34edbc6b	common_voice_en_22302952.mp3	no	2	0	fourties	male		en	Benchmark
20e0f3464ece5c0b1b203a0c8f681d89248028283d116e29f7dfb61e52c926db2c9a4cd281a65387b1969a5539a6e79310f9fb2cc1b1d030875fc8528b4621da	common_voice_en_22147276.mp3	one	2	0				en	Benchmark
21768ca74b2d80e66ecbf0d17266b962282a297dbd56fcaf6b9cac6508adf6e7722d7c7eb423f3176c66be72ed9635cd93f8f096465b1bd83dbdcc09a03bd1f1	common_voice_en_22305996.mp3	no	2	0	twenties	male	indian	en	Benchmark
22e28630ccb63d3d4ee31aae05a47aef32d6ffcd662c8badceec7deb4ed2f6a60cc3d70c81fc99788006ec4435183f3fdacb111883c401f7ea61eedb3440e531	common_voice_en_22299656.mp3	yes	2	1				en	Benchmark
271e4f650e372f252b86fc11faa9b845ed54ad6a541cedd206b8e0d97169233e1a949826b14c8ef629ed21790e7bcac00de7b34b12a4584db729acb559a8eb58	common_voice_en_22329600.mp3	yes	2	0				en	Benchmark
2c7d50afcbd3cf7757c40bd0c7bf297b4cef74ccc95d06e2a85666d5573a23d7e21a7e98899b119d73bbe59640a645eac586795506b3422c94301e9990502c73	common_voice_en_22322689.mp3	yes	2	0				en	Benchmark
2fe96b6b196f1f056fb1b12ae34368d134b82d161ac957959e852dd7e3268fe8c567a2621bbbb801e1d35335d68ce18d82ee3e3da68837d052568151944ff821	common_voice_en_22142881.mp3	one	4	1				en	Benchmark
31a131a99a49d7b0c985aeb47354efa9fb0c79c8f109fbffa26b4d8c033dc03ad83ad9f2eea1ba09145a7f5b2a6077c0c415c0260a49153e37dc54cc427b3504	common_voice_en_22096526.mp3	four	2	1				en	Benchmark
